nohup: ignoring input
[1] order5big_0003: THEOREM (60.2s)  running={'THEOREM': 1}
[2] order5big_0020: THEOREM (60.6s)  running={'THEOREM': 2}
[3] order5big_0034: THEOREM (60.3s)  running={'THEOREM': 3}
[4] order5big_0050: THEOREM (60.2s)  running={'THEOREM': 4}
[5] order5big_0065: THEOREM (60.2s)  running={'THEOREM': 5}
[6] order5big_0076: THEOREM (60.2s)  running={'THEOREM': 6}
[7] order5big_0098: THEOREM (61.2s)  running={'THEOREM': 7}
[8] order5big_0111: THEOREM (60.2s)  running={'THEOREM': 8}
[9] order5big_0137: THEOREM (60.3s)  running={'THEOREM': 9}
[10] order5big_0161: THEOREM (60.4s)  running={'THEOREM': 10}
[11] order5big_0174: THEOREM (60.2s)  running={'THEOREM': 11}
[12] order5big_0186: THEOREM (60.2s)  running={'THEOREM': 12}
[13] order5big_0205: THEOREM (60.2s)  running={'THEOREM': 13}
[14] order5big_0224: THEOREM (60.2s)  running={'THEOREM': 14}
[15] order5big_0245: THEOREM (60.2s)  running={'THEOREM': 15}
[16] order5big_0262: THEOREM (60.4s)  running={'THEOREM': 16}
[17] order5big_0279: THEOREM (60.6s)  running={'THEOREM': 17}
[18] order5big_0305: THEOREM (61.4s)  running={'THEOREM': 18}
[19] order5big_0319: SOLVED_FMB (1.6s)  running={'THEOREM': 18, 'SOLVED_FMB': 1}
[20] order5big_0346: THEOREM (60.7s)  running={'THEOREM': 19, 'SOLVED_FMB': 1}
[21] order5big_0360: THEOREM (60.2s)  running={'THEOREM': 20, 'SOLVED_FMB': 1}
[22] order5big_0374: THEOREM (60.2s)  running={'THEOREM': 21, 'SOLVED_FMB': 1}
[23] order5big_0394: THEOREM (60.2s)  running={'THEOREM': 22, 'SOLVED_FMB': 1}
[24] order5big_0407: THEOREM (60.2s)  running={'THEOREM': 23, 'SOLVED_FMB': 1}
[25] order5big_0422: THEOREM (60.1s)  running={'THEOREM': 24, 'SOLVED_FMB': 1}
[26] order5big_0441: THEOREM (60.2s)  running={'THEOREM': 25, 'SOLVED_FMB': 1}
[27] order5big_0462: THEOREM (61.3s)  running={'THEOREM': 26, 'SOLVED_FMB': 1}
[28] order5big_0481: THEOREM (60.6s)  running={'THEOREM': 27, 'SOLVED_FMB': 1}
[29] order5big_0497: THEOREM (60.2s)  running={'THEOREM': 28, 'SOLVED_FMB': 1}
[30] order5big_0512: THEOREM (60.6s)  running={'THEOREM': 29, 'SOLVED_FMB': 1}
[31] order5big_0538: THEOREM (65.4s)  running={'THEOREM': 30, 'SOLVED_FMB': 1}
[32] order5big_0562: THEOREM (60.2s)  running={'THEOREM': 31, 'SOLVED_FMB': 1}
[33] order5big_0593: THEOREM (60.2s)  running={'THEOREM': 32, 'SOLVED_FMB': 1}
[34] order5big_0611: THEOREM (60.2s)  running={'THEOREM': 33, 'SOLVED_FMB': 1}
