nohup: ignoring input
[1] order5big_0001: LINEAR (0.0s)  running={'LINEAR': 1}
[2] order5big_0009: LINEAR (0.0s)  running={'LINEAR': 2}
[3] order5big_0017: THEOREM (60.4s)  running={'LINEAR': 2, 'THEOREM': 1}
[4] order5big_0025: THEOREM (60.5s)  running={'LINEAR': 2, 'THEOREM': 2}
[5] order5big_0033: LINEAR (0.0s)  running={'LINEAR': 3, 'THEOREM': 2}
[6] order5big_0041: LINEAR (0.0s)  running={'LINEAR': 4, 'THEOREM': 2}
[7] order5big_0049: LINEAR (0.0s)  running={'LINEAR': 5, 'THEOREM': 2}
[8] order5big_0057: THEOREM (60.2s)  running={'LINEAR': 5, 'THEOREM': 3}
[9] order5big_0065: THEOREM (60.2s)  running={'LINEAR': 5, 'THEOREM': 4}
[10] order5big_0073: HARD_NONLINEAR (120.1s)  running={'LINEAR': 5, 'THEOREM': 4, 'HARD_NONLINEAR': 1}
[11] order5big_0081: THEOREM (60.2s)  running={'LINEAR': 5, 'THEOREM': 5, 'HARD_NONLINEAR': 1}
[12] order5big_0089: THEOREM (60.2s)  running={'LINEAR': 5, 'THEOREM': 6, 'HARD_NONLINEAR': 1}
[13] order5big_0097: LINEAR (0.0s)  running={'LINEAR': 6, 'THEOREM': 6, 'HARD_NONLINEAR': 1}
[14] order5big_0105: LINEAR (0.0s)  running={'LINEAR': 7, 'THEOREM': 6, 'HARD_NONLINEAR': 1}
[15] order5big_0113: LINEAR (0.0s)  running={'LINEAR': 8, 'THEOREM': 6, 'HARD_NONLINEAR': 1}
[16] order5big_0121: THEOREM (60.4s)  running={'LINEAR': 8, 'THEOREM': 7, 'HARD_NONLINEAR': 1}
[17] order5big_0129: THEOREM (60.2s)  running={'LINEAR': 8, 'THEOREM': 8, 'HARD_NONLINEAR': 1}
[18] order5big_0137: THEOREM (60.3s)  running={'LINEAR': 8, 'THEOREM': 9, 'HARD_NONLINEAR': 1}
[19] order5big_0145: LINEAR (0.0s)  running={'LINEAR': 9, 'THEOREM': 9, 'HARD_NONLINEAR': 1}
[20] order5big_0153: THEOREM (60.5s)  running={'LINEAR': 9, 'THEOREM': 10, 'HARD_NONLINEAR': 1}
[21] order5big_0161: THEOREM (60.5s)  running={'LINEAR': 9, 'THEOREM': 11, 'HARD_NONLINEAR': 1}
[22] order5big_0169: LINEAR (0.0s)  running={'LINEAR': 10, 'THEOREM': 11, 'HARD_NONLINEAR': 1}
[23] order5big_0177: LINEAR (0.0s)  running={'LINEAR': 11, 'THEOREM': 11, 'HARD_NONLINEAR': 1}
[24] order5big_0185: LINEAR (0.0s)  running={'LINEAR': 12, 'THEOREM': 11, 'HARD_NONLINEAR': 1}
[25] order5big_0193: LINEAR (0.0s)  running={'LINEAR': 13, 'THEOREM': 11, 'HARD_NONLINEAR': 1}
[26] order5big_0201: THEOREM (60.2s)  running={'LINEAR': 13, 'THEOREM': 12, 'HARD_NONLINEAR': 1}
[27] order5big_0209: LINEAR (0.0s)  running={'LINEAR': 14, 'THEOREM': 12, 'HARD_NONLINEAR': 1}
[28] order5big_0217: LINEAR (0.0s)  running={'LINEAR': 15, 'THEOREM': 12, 'HARD_NONLINEAR': 1}
[29] order5big_0225: LINEAR (0.0s)  running={'LINEAR': 16, 'THEOREM': 12, 'HARD_NONLINEAR': 1}
[30] order5big_0233: THEOREM (60.2s)  running={'LINEAR': 16, 'THEOREM': 13, 'HARD_NONLINEAR': 1}
[31] order5big_0241: LINEAR (0.0s)  running={'LINEAR': 17, 'THEOREM': 13, 'HARD_NONLINEAR': 1}
[32] order5big_0249: LINEAR (0.0s)  running={'LINEAR': 18, 'THEOREM': 13, 'HARD_NONLINEAR': 1}
[33] order5big_0257: THEOREM (60.2s)  running={'LINEAR': 18, 'THEOREM': 14, 'HARD_NONLINEAR': 1}
[34] order5big_0265: LINEAR (0.0s)  running={'LINEAR': 19, 'THEOREM': 14, 'HARD_NONLINEAR': 1}
[35] order5big_0273: THEOREM (60.2s)  running={'LINEAR': 19, 'THEOREM': 15, 'HARD_NONLINEAR': 1}
[36] order5big_0281: SOLVED_FMB (0.4s)  running={'LINEAR': 19, 'THEOREM': 15, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[37] order5big_0289: LINEAR (0.0s)  running={'LINEAR': 20, 'THEOREM': 15, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[38] order5big_0297: LINEAR (0.0s)  running={'LINEAR': 21, 'THEOREM': 15, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
