nohup: ignoring input
[1] order5big_0003: THEOREM (60.2s)  running={'THEOREM': 1}
[2] order5big_0011: LINEAR (0.0s)  running={'THEOREM': 1, 'LINEAR': 1}
[3] order5big_0019: LINEAR (0.0s)  running={'THEOREM': 1, 'LINEAR': 2}
[4] order5big_0027: THEOREM (0.7s)  running={'THEOREM': 2, 'LINEAR': 2}
[5] order5big_0035: THEOREM (60.2s)  running={'THEOREM': 3, 'LINEAR': 2}
[6] order5big_0043: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 3}
[7] order5big_0051: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 4}
[8] order5big_0059: THEOREM (60.2s)  running={'THEOREM': 4, 'LINEAR': 4}
[9] order5big_0067: THEOREM (60.6s)  running={'THEOREM': 5, 'LINEAR': 4}
[10] order5big_0075: THEOREM (62.8s)  running={'THEOREM': 6, 'LINEAR': 4}
[11] order5big_0083: THEOREM (60.2s)  running={'THEOREM': 7, 'LINEAR': 4}
[12] order5big_0091: LINEAR (0.0s)  running={'THEOREM': 7, 'LINEAR': 5}
[13] order5big_0099: LINEAR (0.0s)  running={'THEOREM': 7, 'LINEAR': 6}
[14] order5big_0107: THEOREM (60.5s)  running={'THEOREM': 8, 'LINEAR': 6}
[15] order5big_0115: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 7}
[16] order5big_0123: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 8}
[17] order5big_0131: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 9}
[18] order5big_0139: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 10}
[19] order5big_0147: SOLVED_FMB (1.3s)  running={'THEOREM': 8, 'LINEAR': 10, 'SOLVED_FMB': 1}
[20] order5big_0155: THEOREM (60.2s)  running={'THEOREM': 9, 'LINEAR': 10, 'SOLVED_FMB': 1}
[21] order5big_0163: THEOREM (60.2s)  running={'THEOREM': 10, 'LINEAR': 10, 'SOLVED_FMB': 1}
[22] order5big_0171: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 11, 'SOLVED_FMB': 1}
[23] order5big_0179: SOLVED_FMB (0.5s)  running={'THEOREM': 10, 'LINEAR': 11, 'SOLVED_FMB': 2}
[24] order5big_0187: THEOREM (60.2s)  running={'THEOREM': 11, 'LINEAR': 11, 'SOLVED_FMB': 2}
[25] order5big_0195: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 12, 'SOLVED_FMB': 2}
[26] order5big_0203: THEOREM (60.2s)  running={'THEOREM': 12, 'LINEAR': 12, 'SOLVED_FMB': 2}
[27] order5big_0211: LINEAR (0.0s)  running={'THEOREM': 12, 'LINEAR': 13, 'SOLVED_FMB': 2}
[28] order5big_0219: THEOREM (61.3s)  running={'THEOREM': 13, 'LINEAR': 13, 'SOLVED_FMB': 2}
[29] order5big_0227: LINEAR (0.0s)  running={'THEOREM': 13, 'LINEAR': 14, 'SOLVED_FMB': 2}
[30] order5big_0235: THEOREM (60.2s)  running={'THEOREM': 14, 'LINEAR': 14, 'SOLVED_FMB': 2}
[31] order5big_0243: THEOREM (60.4s)  running={'THEOREM': 15, 'LINEAR': 14, 'SOLVED_FMB': 2}
[32] order5big_0251: THEOREM (60.2s)  running={'THEOREM': 16, 'LINEAR': 14, 'SOLVED_FMB': 2}
[33] order5big_0259: LINEAR (0.0s)  running={'THEOREM': 16, 'LINEAR': 15, 'SOLVED_FMB': 2}
[34] order5big_0267: THEOREM (60.2s)  running={'THEOREM': 17, 'LINEAR': 15, 'SOLVED_FMB': 2}
[35] order5big_0275: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 16, 'SOLVED_FMB': 2}
[36] order5big_0283: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 17, 'SOLVED_FMB': 2}
[37] order5big_0291: THEOREM (60.2s)  running={'THEOREM': 18, 'LINEAR': 17, 'SOLVED_FMB': 2}
