classifying 325 laws
  10/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 4, 'OPEN': 2, 'TRIVIAL': 2}
  20/325 | {'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 9, 'OPEN': 3, 'TRIVIAL': 5}
  30/325 | {'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 15, 'OPEN': 4, 'TRIVIAL': 7}
  40/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 19, 'OPEN': 5, 'TRIVIAL': 11}
  50/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 21, 'OPEN': 7, 'TRIVIAL': 15}
  60/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 23, 'OPEN': 7, 'TRIVIAL': 19}
  70/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 27, 'OPEN': 10, 'TRIVIAL': 22}
  80/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 32, 'OPEN': 11, 'TRIVIAL': 26}
  90/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 36, 'OPEN': 13, 'TRIVIAL': 29}
  100/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 38, 'OPEN': 15, 'TRIVIAL': 33}
  110/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 42, 'OPEN': 18, 'TRIVIAL': 36}
  120/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 45, 'OPEN': 20, 'TRIVIAL': 41}
  130/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 48, 'OPEN': 22, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 44}
  140/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 12, 'NO_FINITE_MODEL': 52, 'OPEN': 25, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 46}
  150/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 56, 'OPEN': 25, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 51}
  160/325 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 61, 'OPEN': 27, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 52}
  170/325 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 64, 'OPEN': 29, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 55}
