classifying 325 laws
  10/325 | {'NO_FINITE_MODEL': 7, 'TRIVIAL': 3}
  20/325 | {'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 13, 'TRIVIAL': 6}
  30/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 17, 'OPEN': 3, 'TRIVIAL': 8}
  40/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 18, 'OPEN': 5, 'TRIVIAL': 15}
  50/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 23, 'OPEN': 7, 'TRIVIAL': 16}
  60/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 26, 'OPEN': 8, 'TRIVIAL': 21}
  70/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 30, 'OPEN': 10, 'TRIVIAL': 23}
  80/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 32, 'OPEN': 12, 'TRIVIAL': 29}
  90/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 35, 'OPEN': 14, 'TRIVIAL': 33}
  100/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 37, 'OPEN': 16, 'TRIVIAL': 38}
  110/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 40, 'OPEN': 16, 'TRIVIAL': 42}
  120/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 44, 'OPEN': 17, 'TRIVIAL': 45}
  130/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 49, 'OPEN': 18, 'TRIVIAL': 48}
  140/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 53, 'OPEN': 19, 'TRIVIAL': 52}
  150/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 18, 'NO_FINITE_MODEL': 54, 'OPEN': 23, 'TRIVIAL': 54}
  160/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 19, 'NO_FINITE_MODEL': 56, 'OPEN': 23, 'TRIVIAL': 61}
  170/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 19, 'NO_FINITE_MODEL': 60, 'OPEN': 25, 'TRIVIAL': 63}
