classifying 325 laws
  10/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 1, 'OPEN': 3, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 3}
  20/325 | {'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 4, 'OPEN': 4, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 6}
  30/325 | {'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 9, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 9}
  40/325 | {'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 10, 'OPEN': 11, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 12}
  50/325 | {'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 12, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 17}
  60/325 | {'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 15, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 21}
  70/325 | {'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 17, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 24}
  80/325 | {'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 22, 'OPEN': 19, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  90/325 | {'HAS_FINITE_MODEL': 12, 'NO_FINITE_MODEL': 26, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 31}
  100/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 26, 'OPEN': 21, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 35}
  110/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 16, 'NO_FINITE_MODEL': 29, 'OPEN': 24, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 38}
  120/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 18, 'NO_FINITE_MODEL': 30, 'OPEN': 25, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 44}
  130/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 19, 'NO_FINITE_MODEL': 32, 'OPEN': 28, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 48}
  140/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 22, 'NO_FINITE_MODEL': 35, 'OPEN': 29, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 51}
