classifying 325 laws
  10/325 | {'NO_FINITE_MODEL': 5, 'OPEN': 3, 'TRIVIAL': 2}
  20/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 10, 'OPEN': 3, 'TRIVIAL': 5}
  30/325 | {'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 14, 'OPEN': 3, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 9}
  40/325 | {'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 18, 'OPEN': 4, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 12}
  50/325 | {'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 21, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 16}
  60/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 23, 'OPEN': 9, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 19}
  70/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 28, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  80/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 30, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 21}
  90/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 30, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  100/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 33, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 32}
  110/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 16, 'NO_FINITE_MODEL': 37, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 36}
  120/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 16, 'NO_FINITE_MODEL': 40, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 42}
  130/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 16, 'NO_FINITE_MODEL': 42, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 48}
  140/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 18, 'NO_FINITE_MODEL': 45, 'OPEN': 22, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 51}
  150/325 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 20, 'NO_FINITE_MODEL': 48, 'OPEN': 22, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 55}
  160/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 23, 'NO_FINITE_MODEL': 51, 'OPEN': 24, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 56}
