classifying 455 laws
  10/455 | {'NO_FINITE_MODEL': 7, 'OPEN': 3}
  20/455 | {'NO_FINITE_MODEL': 10, 'OPEN': 7, 'TRIVIAL': 3}
  30/455 | {'AUSTIN_PROVEN': 1, 'NO_FINITE_MODEL': 14, 'OPEN': 10, 'TRIVIAL': 5}
  40/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 19, 'OPEN': 11, 'TRIVIAL': 8}
  50/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 25, 'OPEN': 12, 'TRIVIAL': 11}
  60/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 31, 'OPEN': 14, 'TRIVIAL': 13}
  70/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 34, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 14}
  80/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 38, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 18}
  90/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 41, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 21}
  100/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 45, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 24}
  110/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 51, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  120/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 54, 'OPEN': 25, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 32}
  130/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 58, 'OPEN': 28, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 34}
  140/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 64, 'OPEN': 28, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 37}
  150/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 69, 'OPEN': 30, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 39}
