classifying 455 laws
  10/455 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 5, 'OPEN': 3}
  20/455 | {'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 6, 'OPEN': 4, 'TRIVIAL': 5}
  30/455 | {'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 10, 'OPEN': 5, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 8}
  40/455 | {'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 16, 'OPEN': 8, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 9}
  50/455 | {'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 23, 'OPEN': 8, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 10}
  60/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 27, 'OPEN': 9, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 14}
  70/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 33, 'OPEN': 11, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 15}
  80/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 37, 'OPEN': 15, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 17}
  90/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 42, 'OPEN': 18, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 19}
  100/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 46, 'OPEN': 19, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 24}
  110/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 48, 'OPEN': 22, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 26}
