classifying 455 laws
  10/455 | {'AUSTIN_PROVEN': 1, 'NO_FINITE_MODEL': 6, 'OPEN': 2, 'TRIVIAL': 1}
  20/455 | {'AUSTIN_PROVEN': 1, 'NO_FINITE_MODEL': 12, 'OPEN': 4, 'TRIVIAL': 3}
  30/455 | {'AUSTIN_PROVEN': 3, 'NO_FINITE_MODEL': 16, 'OPEN': 4, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 6}
  40/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 22, 'OPEN': 5, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 8}
  50/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 28, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 11}
  60/455 | {'AUSTIN_PROVEN': 5, 'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 32, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 15}
  70/455 | {'AUSTIN_PROVEN': 5, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 38, 'OPEN': 7, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 15}
  80/455 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 45, 'OPEN': 8, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 16}
  90/455 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 49, 'OPEN': 9, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  100/455 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 54, 'OPEN': 11, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 22}
  110/455 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 60, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 24}
  120/455 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 65, 'OPEN': 14, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  130/455 | {'AUSTIN_PROVEN': 7, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 70, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 28}
  140/455 | {'AUSTIN_PROVEN': 7, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 74, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 33}
  150/455 | {'AUSTIN_PROVEN': 7, 'HAS_FINITE_MODEL': 9, 'NO_FINITE_MODEL': 78, 'OPEN': 22, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 33}
  160/455 | {'AUSTIN_PROVEN': 7, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 83, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 36}
