classifying 454 laws
  10/454 | {'NO_FINITE_MODEL': 5, 'OPEN': 2, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 2}
  20/454 | {'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 6, 'OPEN': 4, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 6}
  30/454 | {'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 7, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 12}
  40/454 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 12, 'OPEN': 9, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 12}
  50/454 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 15, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 15}
  60/454 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 19, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 17}
  70/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 24, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  80/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 29, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 23}
  90/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 33, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  100/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 38, 'OPEN': 21, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 31}
  110/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 44, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 33}
  120/454 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 51, 'OPEN': 24, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 35}
