classifying 455 laws
  10/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 2, 'OPEN': 1, 'TRIVIAL': 3}
  20/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 9, 'OPEN': 3, 'TRIVIAL': 4}
  30/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 13, 'OPEN': 7, 'TRIVIAL': 5}
  40/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 19, 'OPEN': 8, 'TRIVIAL': 8}
  50/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 22, 'OPEN': 8, 'TRIVIAL': 14}
  60/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 25, 'OPEN': 10, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 17}
  70/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 28, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  80/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 32, 'OPEN': 14, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  90/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 38, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 22}
  100/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 42, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 26}
  110/455 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 46, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 29}
  120/455 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 54, 'OPEN': 19, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 29}
