classifying 455 laws
  10/455 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 2, 'TRIVIAL': 6}
  20/455 | {'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 7, 'OPEN': 2, 'TRIVIAL': 8}
  30/455 | {'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 10, 'OPEN': 3, 'TRIVIAL': 12}
  40/455 | {'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 15, 'OPEN': 4, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 14}
  50/455 | {'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 21, 'OPEN': 5, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 16}
  60/455 | {'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 24, 'OPEN': 5, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 22}
  70/455 | {'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 29, 'OPEN': 6, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 24}
  80/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 34, 'OPEN': 7, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  90/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 39, 'OPEN': 9, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 29}
  100/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 43, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 31}
  110/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 48, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 35}
  120/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 51, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 38}
  130/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 13, 'NO_FINITE_MODEL': 57, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 39}
