id,eq1_id,eq2_id,gold,vampire,eprover,prover9,mace4,classical_vbs,ours_nollm,ours_llm,ours_solved_by,ours_used_llm,judge_ok,uniquely_solved_by_llm
hard3_0001,5,625,true,,,,,0,0,0,,0,0,0
hard3_0002,9,2441,true,,,,,0,0,0,,0,0,0
hard3_0003,13,583,true,,,,,0,0,0,,0,0,0
hard3_0004,22,4347,true,,,,,0,0,0,,0,0,0
hard3_0005,34,3556,true,,,,,0,0,0,,0,0,0
hard3_0006,38,4271,true,,,,,0,0,0,,0,0,0
hard3_0007,38,4517,false,,,,,0,0,0,,0,0,0
hard3_0008,41,4407,true,,,,,0,0,0,,0,0,0
hard3_0009,48,2255,false,,,,,0,0,0,,0,0,0
hard3_0010,49,3867,false,,,,,0,0,0,,0,0,0
hard3_0011,51,2862,false,,,,,0,0,0,,0,0,0
hard3_0012,52,3664,false,,,,,0,0,0,,0,0,0
hard3_0013,58,3050,false,,,,,0,0,0,,0,0,0
hard3_0014,59,3086,true,,,,,0,0,0,,0,0,0
hard3_0015,60,3332,true,,,,,0,0,0,,0,0,0
hard3_0016,62,3762,false,,,,,0,0,0,,0,0,0
hard3_0017,72,214,false,,,,,0,0,0,,0,0,0
hard3_0018,72,554,false,,,,,0,0,0,,0,0,0
hard3_0019,78,1405,false,,,,,0,0,0,,0,0,0
hard3_0020,90,1428,true,,,,,0,0,0,,0,0,0
hard3_0021,100,845,false,,,,,0,0,0,,0,0,0
hard3_0022,103,3519,false,,,,,0,0,0,,0,0,0
hard3_0023,110,10,true,,,,,0,0,0,,0,0,0
hard3_0024,112,2277,true,,,,,0,0,0,,0,0,0
hard3_0025,124,1776,false,,,,,0,0,0,,0,0,0
hard3_0026,127,2148,false,,,,,0,0,0,,0,0,0
hard3_0027,134,176,true,,,,,0,0,0,,0,0,0
hard3_0028,134,2222,true,,,,,0,0,0,,0,0,0
hard3_0029,138,4183,false,,,,,0,0,0,,0,0,0
hard3_0030,155,3509,true,,,,,0,0,0,,0,0,0
hard3_0031,156,3334,false,,,,,0,0,0,,0,0,0
hard3_0032,168,3935,false,,,,,0,0,0,,0,0,0
hard3_0033,172,4080,true,,,,,0,0,0,,0,0,0
hard3_0034,176,1096,true,,,,,0,0,0,,0,0,0
hard3_0035,194,1075,false,,,,,0,0,0,,0,0,0
hard3_0036,204,1426,true,,,,,0,0,0,,0,0,0
hard3_0037,205,3464,false,,,,,0,0,0,,0,0,0
hard3_0038,207,3256,true,,,,,0,0,0,,0,0,0
hard3_0039,209,1430,false,,,,,0,0,0,,0,0,0
hard3_0040,215,3050,false,,,,,0,0,0,,0,0,0
hard3_0041,256,2477,false,,,,,0,0,0,,0,0,0
hard3_0042,258,851,false,,,,,0,0,0,,0,0,0
hard3_0043,259,2684,true,,,,,0,0,0,,0,0,0
hard3_0044,269,3949,false,,,,,0,0,0,,0,0,0
hard3_0045,273,4362,false,,,,,0,0,0,,0,0,0
hard3_0046,294,2318,true,,,,,0,0,0,,0,0,0
hard3_0047,294,4155,true,,,,,0,0,0,,0,0,0
hard3_0048,298,4564,true,,,,,0,0,0,,0,0,0
hard3_0049,302,549,true,,,,,0,0,0,,0,0,0
hard3_0050,315,4196,false,,,,,0,0,0,,0,0,0
hard3_0051,344,3965,true,,,,,0,0,0,,0,0,0
hard3_0052,348,3734,true,,,,,0,0,0,,0,0,0
hard3_0053,348,4367,true,,,,,0,0,0,,0,0,0
hard3_0054,353,3950,true,,,,,0,0,0,,0,0,0
hard3_0055,363,4118,false,,,,,0,0,0,,0,0,0
hard3_0056,366,4288,false,,,,,0,0,0,,0,0,0
hard3_0057,372,315,false,,,,,0,0,0,,0,0,0
hard3_0058,373,359,true,,,,,0,0,0,,0,0,0
hard3_0059,373,4416,false,,,,,0,0,0,,0,0,0
hard3_0060,402,3855,true,,,,,0,0,0,,0,0,0
hard3_0061,404,3339,true,,,,,0,0,0,,0,0,0
hard3_0062,419,842,false,,,,,0,0,0,,0,0,0
hard3_0063,423,1070,false,,,,,0,0,0,,0,0,0
hard3_0064,424,2466,false,,,,,0,0,0,,0,0,0
hard3_0065,428,360,false,,,,,0,0,0,,0,0,0
hard3_0066,435,1678,true,,,,,0,0,0,,0,0,0
hard3_0067,453,615,true,,,,,0,0,0,,0,0,0
hard3_0068,456,1051,true,,,,,0,0,0,,0,0,0
hard3_0069,483,2087,false,,,,,0,0,0,,0,0,0
hard3_0070,487,114,false,,,,,0,0,0,,0,0,0
hard3_0071,511,2132,false,,,,,0,0,0,,0,0,0
hard3_0072,511,3211,false,,,,,0,0,0,,0,0,0
hard3_0073,541,1366,false,,,,,0,0,0,,0,0,0
hard3_0074,545,1832,false,,,,,0,0,0,,0,0,0
hard3_0075,545,2043,false,,,,,0,0,0,,0,0,0
hard3_0076,549,1966,false,,,,,0,0,0,,0,0,0
hard3_0077,554,3935,true,,,,,0,0,0,,0,0,0
hard3_0078,556,4396,false,,,,,0,0,0,,0,0,0
hard3_0079,579,2144,false,,,,,0,0,0,,0,0,0
hard3_0080,618,3310,false,,,,,0,0,0,,0,0,0
hard3_0081,623,1035,false,,,,,0,0,0,,0,0,0
hard3_0082,625,2646,false,,,,,0,0,0,,0,0,0
hard3_0083,626,3744,false,,,,,0,0,0,,0,0,0
hard3_0084,627,3869,false,,,,,0,0,0,,0,0,0
hard3_0085,644,2462,true,,,,,0,0,0,,0,0,0
hard3_0086,646,4144,false,,,,,0,0,0,,0,0,0
hard3_0087,648,3067,true,,,,,0,0,0,,0,0,0
hard3_0088,648,3869,true,,,,,0,0,0,,0,0,0
hard3_0089,652,3266,true,,,,,0,0,0,,0,0,0
hard3_0090,660,1848,true,,,,,0,0,0,,0,0,0
hard3_0091,707,1996,false,,,,,0,0,0,,0,0,0
hard3_0092,707,4090,false,,,,,0,0,0,,0,0,0
hard3_0093,714,1075,false,,,,,0,0,0,,0,0,0
hard3_0094,723,3089,false,,,,,0,0,0,,0,0,0
